sn2025_kode,sn2025_navn,sn2007_kode,sn2007_navn
30.130,Bygging av militære skip og fartøy,30.112,Bygging av skip under 100 br.tonn
30.130,Bygging av militære skip og fartøy,30.114,Produksjon av annet flytende materiell
30.130,Bygging av militære skip og fartøy,30.115,Innrednings- og installasjonsarbeid utført på skip over 100 br.tonn
30.310,Produksjon av sivile luft- og romfartøy og tilhørende utstyr,30.300,Produksjon av luftfartøyer og romfartøyer og lignende utstyr
30.320,Produksjon av militære luft- og romfartøy og tilhørende utstyr,30.300,Produksjon av luftfartøyer og romfartøyer og lignende utstyr
30.400,Produksjon av militære stridskjøretøy,30.400,Produksjon av militære stridskjøretøyer
30.910,Produksjon av motorsykler,28.110,"Produksjon av motorer og turbiner, unntatt motorer til luftfartøyer og motorvogner"
30.910,Produksjon av motorsykler,30.910,Produksjon av motorsykler
30.920,"Produksjon av sykler, rullestoler, elektriske mobilitetsscootere og lignende fremkomstmidler",30.910,Produksjon av motorsykler
30.920,"Produksjon av sykler, rullestoler, elektriske mobilitetsscootere og lignende fremkomstmidler",30.920,Produksjon av sykler og invalidevogner
31.000,Produksjon av møbler,23.420,Produksjon av sanitærutstyr av keramisk materiale
31.000,Produksjon av møbler,31.010,Produksjon av kontor- og butikkmøbler
31.000,Produksjon av møbler,31.020,Produksjon av kjøkkenmøbler
31.000,Produksjon av møbler,31.030,Produksjon av madrasser
31.000,Produksjon av møbler,31.090,Produksjon av møbler ellers
32.110,Preging av mynter,32.110,Preging av mynter og medaljer
32.120,Produksjon av smykker og lignende artikler,32.120,Produksjon av gull- og sølvvarer og lignende artikler
32.300,Produksjon av sportsartikler,32.300,Produksjon av sportsartikler
32.500,Produksjon av medisinske og tanntekniske instrumenter og utstyr,32.500,Produksjon av medisinske og tanntekniske instrumenter og utstyr
32.500,Produksjon av medisinske og tanntekniske instrumenter og utstyr,32.990,Annen industriproduksjon ikke nevnt annet sted
32.990,Annen industriproduksjon ikke nevnt annet sted,13.929,"Produksjon av andre tekstilvarer, unntatt klær"
32.990,Annen industriproduksjon ikke nevnt annet sted,27.900,Produksjon av annet elektrisk utstyr
32.990,Annen industriproduksjon ikke nevnt annet sted,32.300,Produksjon av sportsartikler
32.990,Annen industriproduksjon ikke nevnt annet sted,32.990,Annen industriproduksjon ikke nevnt annet sted
33.110,Reparasjon og vedlikehold av bearbeidede metallprodukter,33.110,Reparasjon av bearbeidede metallprodukter
33.120,Reparasjon og vedlikehold av maskiner,33.120,Reparasjon av maskiner
33.130,Reparasjon og vedlikehold av elektronisk og optisk utstyr,33.130,Reparasjon av elektronisk og optisk utstyr
33.140,Reparasjon og vedlikehold av elektrisk utstyr,33.140,Reparasjon av elektrisk utstyr
33.150,Reparasjon og vedlikehold av sivile skip og båter,33.120,Reparasjon av maskiner
33.150,Reparasjon og vedlikehold av sivile skip og båter,33.150,Reparasjon og vedlikehold av skip og båter
33.160,Reparasjon og vedlikehold av sivile luft- og romfartøy,33.160,Reparasjon og vedlikehold av luftfartøyer og romfartøyer
33.170,Reparasjon og vedlikehold av andre sivile transportmidler,33.110,Reparasjon av bearbeidede metallprodukter
33.170,Reparasjon og vedlikehold av andre sivile transportmidler,33.170,Reparasjon og vedlikehold av andre transportmidler
33.180,"Reparasjon og vedlikehold av militære stridskjøretøy, skip, båter, luft- og romfartøy",30.400,Produksjon av militære stridskjøretøyer
33.180,"Reparasjon og vedlikehold av militære stridskjøretøy, skip, båter, luft- og romfartøy",33.120,Reparasjon av maskiner
33.180,"Reparasjon og vedlikehold av militære stridskjøretøy, skip, båter, luft- og romfartøy",33.150,Reparasjon og vedlikehold av skip og båter
