etikett,selskaper,forste_dato,siste_dato,selsk_for_som,selsk_etter_som,vintage,metode,sn2007_kode,sn2007_navn,sn2025_kode,sn2025_navn,kanonisk_sn2007,kanonisk_navn,kanonisk_kilde,er_bygg_sn2007,er_bygg_sn2025,selskapstekst_kode
Undervisning innen idrett og rekreasjon,20,2023-02-13,2025-06-16,20,0,SN2007,T1,85.510,Undervisning innen idrett og rekreasjon,,,85.510,Undervisning innen idrett og rekreasjon,direkte,false,,
Familieeide egeninvesteringsselskaper,20,2023-10-12,2025-03-28,20,0,SN2007,T1,64.308,Familieeide egeninvesteringsselskaper,,,64.308,Familieeide egeninvesteringsselskaper,direkte,false,,
Postordre-/Internetthandel med bredt vareutvalg,20,2023-03-28,2025-08-20,20,0,SN2007,T1,47.911,Postordre-/Internetthandel med bredt vareutvalg,,,47.911,Postordre-/Internetthandel med bredt vareutvalg,direkte,false,,
Engroshandel med sportsutstyr,19,2020-02-03,2025-07-04,19,0,SN2007,T1,46.494,Engroshandel med sportsutstyr,,,46.494,Engroshandel med sportsutstyr,direkte,false,,
Butikkhandel med kjæledyr og fôr til kjæledyr,19,2023-02-14,2025-07-25,19,0,SN2007,,,,,,,,,,,
Eiendomsforvaltning på oppdrag,19,2025-09-02,2026-07-20,0,19,SN2025,T2,,,68.320,Eiendomsforvaltning på oppdrag,68.310|68.320,Eiendomsmegling | Eiendomsforvaltning,korrespondanse-1tilmange,false,false,68.320
Kombinerte tjenester tilknyttet eiendomsdrift,18,2025-10-09,2026-07-08,0,18,SN2025,T2,,,81.100,Kombinerte tjenester tilknyttet eiendomsdrift,81.101|81.109,Vaktmestertjenester | Andre kombinerte tjenester tilknyttet eiendomsdrift,korrespondanse-1tilmange,false,false,81.100
Engroshandel med husholdningsvarer og varer til personlig br,18,2022-09-28,2025-08-20,18,0,SN2007,T1,46.499,Engroshandel med husholdningsvarer og varer til personlig bruk ikke nevnt annet sted,,,46.499,Engroshandel med husholdningsvarer og varer til personlig bruk ikke nevnt annet sted,direkte,false,,
Aktiviteter utført av utflukts- og eventarrangører,18,2025-09-04,2026-07-27,0,18,SN2025,T2,,,79.121,Aktiviteter utført av utflukts- og eventarrangører,79.903,"Opplevelses-, arrangements- og aktivitetsarrangørvirksomhet",korrespondanse-1til1,false,false,79.121
Fiske og fangst i sjø,18,2025-09-10,2026-07-07,0,18,SN2025,T2,,,03.110,Fiske og fangst i sjø,03.111|03.112,Hav- og kystfiske | Hvalfangst,korrespondanse-1tilmange,false,false,03.110
"Postordre-/Internetthandel med belysningsutstyr, kjøkkenutst",17,2023-04-27,2025-05-30,17,0,SN2007,T1,47.913,"Postordre-/Internetthandel med belysningsutstyr, kjøkkenutstyr, møbler og innredningsartikler",,,47.913,"Postordre-/Internetthandel med belysningsutstyr, kjøkkenutstyr, møbler og innredningsartikler",direkte,false,,
Butikkhandel med elektriske husholdningsapparater,17,2022-02-01,2025-08-04,17,0,SN2007,T1,47.540,Butikkhandel med elektriske husholdningsapparater,,,47.540,Butikkhandel med elektriske husholdningsapparater,direkte,false,,
Blikkenslagerarbeid på tak,17,2022-12-08,2025-08-19,17,0,SN2007,,,,,,,,,,,
Produksjon av monteringsferdige hus,17,2020-10-01,2024-12-03,17,0,SN2007,T1,16.231,Produksjon av monteringsferdige hus,,,16.231,Produksjon av monteringsferdige hus,direkte,false,,
Riving av bygninger og andre konstruksjoner,16,2020-07-16,2025-08-27,16,0,SN2007,T1,43.110,Riving av bygninger og andre konstruksjoner,,,43.110,Riving av bygninger og andre konstruksjoner,direkte,true,,
"Detaljhandel med blomster, planter, gjødsel og plantevernmid",16,2025-09-24,2026-08-05,0,16,SN2025,T2,,,47.761,"Detaljhandel med blomster, planter, gjødsel og plantevernmidler",47.761|47.890|47.919|47.990,Butikkhandel med blomster og planter | Torghandel med andre varer | Postordre-/Internetthandel med annet spesialisert vareutvalg | Detaljhandel utenom utsalgssted ellers,korrespondanse-1tilmange,false,false,47.761
Butikkhandel med byggevarer ikke nevnt annet sted,16,2023-01-10,2025-07-30,16,0,SN2007,T1,47.529,Butikkhandel med byggevarer ikke nevnt annet sted,,,47.529,Butikkhandel med byggevarer ikke nevnt annet sted,direkte,false,,
Agenturhandel med spesialisert vareutvalg ellers,16,2023-06-19,2026-07-31,10,6,begge,T1,46.180,Agenturhandel med spesialisert vareutvalg ellers,46.180,Agenturhandel med spesialisert vareutvalg ellers,46.180,Agenturhandel med spesialisert vareutvalg ellers,direkte,false,false,46.180
Drift av barer ellers,16,2023-01-19,2025-05-05,16,0,SN2007,T1,56.309,Drift av barer ellers,,,56.309,Drift av barer ellers,direkte,false,,
Butikkhandel med drikkevarer ellers,15,2023-02-27,2025-04-22,15,0,SN2007,T1,47.259,Butikkhandel med drikkevarer ellers,,,47.259,Butikkhandel med drikkevarer ellers,direkte,false,,
"Engroshandel med jernvarer, rørleggerartikler og oppvarmings",15,2021-11-29,2026-07-03,12,3,begge,T1,46.740,"Engroshandel med jernvarer, rørleggerartikler og oppvarmingsutstyr",46.840,"Engroshandel med jernvarer, rørleggerartikler og oppvarmingsutstyr",46.740,"Engroshandel med jernvarer, rørleggerartikler og oppvarmingsutstyr",direkte,false,false,46.840
Tjenester tilknyttet skogbruk,15,2022-10-31,2026-08-24,6,9,begge,T1,02.400,Tjenester tilknyttet skogbruk,02.400,Tjenester tilknyttet skogbruk,02.400,Tjenester tilknyttet skogbruk,direkte,false,false,02.400
Takarbeid,15,2025-09-09,2026-08-24,0,15,SN2025,T2,,,43.410,Takarbeid,43.911|43.919|43.990,Blikkenslagerarbeid | Takarbeid ellers | Annen spesialisert bygge- og anleggsvirksomhet,korrespondanse-1tilmange,true,true,43.410
"Slakting, bearbeiding og konservering av fisk og fiskevarer",15,2020-02-20,2025-08-27,15,0,SN2007,T1,10.209,"Slakting, bearbeiding og konservering av fisk og fiskevarer ellers",,,10.209,"Slakting, bearbeiding og konservering av fisk og fiskevarer ellers",direkte,false,,
Skjønnhetspleie,15,2025-10-21,2026-07-24,0,15,SN2025,T2,,,96.220,Skjønnhetspleie,96.020,Frisering og annen skjønnhetspleie,korrespondanse-1til1,false,false,96.220
Butikkhandel med skotøy,15,2023-02-02,2025-08-21,15,0,SN2007,T1,47.721,Butikkhandel med skotøy,,,47.721,Butikkhandel med skotøy,direkte,false,,
Bygging av veier og motorveier,15,2021-04-26,2026-08-10,10,5,begge,T1,42.110,Bygging av veier og motorveier,42.110,Bygging av veier og motorveier,42.110,Bygging av veier og motorveier,direkte,true,true,42.110
Opplevelsesaktiviteter,15,2021-05-11,2026-08-05,11,4,begge,T1,93.291,Opplevelsesaktiviteter,93.291,Opplevelsesaktiviteter,93.291,Opplevelsesaktiviteter,direkte,false,false,93.291
Drift av hoteller,15,2025-09-11,2026-06-12,0,15,SN2025,T2,,,55.100,Drift av hoteller,55.101|55.102,"Drift av hoteller, pensjonater og moteller med restaurant | Drift av hoteller, pensjonater og moteller uten restaurant",korrespondanse-1tilmange,false,false,55.100
Forskning og eksperimentell utvikling innenfor naturvitenska,15,2025-10-03,2026-07-28,0,15,SN2025,T2,,,72.100,Forskning og eksperimentell utvikling innenfor naturvitenskap og teknikk,72.110|72.190,Forskning og utviklingsarbeid innen bioteknologi | Annen forskning og annet utviklingsarbeid innen naturvitenskap og teknikk,korrespondanse-1tilmange,false,false,72.100
Engroshandel med elektronikkutstyr og telekommunikasjonsutst,15,2022-06-23,2025-05-27,15,0,SN2007,T1,46.520,Engroshandel med elektronikkutstyr og telekommunikasjonsutstyr samt deler,,,46.520,Engroshandel med elektronikkutstyr og telekommunikasjonsutstyr samt deler,direkte,false,,
Butikkhandel med fargevarer,14,2022-08-31,2025-06-30,14,0,SN2007,T1,47.523,Butikkhandel med fargevarer,,,47.523,Butikkhandel med fargevarer,direkte,false,,
"All annen faglig, vitenskapelig og teknisk virksomhet ikke n",14,2025-10-14,2026-06-22,0,14,SN2025,T2,,,74.990,"All annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted",74.901|74.902|74.903|74.909,"Takseringsvirksomhet | Modellbyråvirksomhet | Impresariovirksomhet | Annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted",korrespondanse-1tilmange,false,false,74.990
Utvendig rengjøring av bygninger og industriell rengjøring,14,2023-05-10,2026-08-12,9,5,begge,T1,81.220,Utvendig rengjøring av bygninger og industriell rengjøring,81.220,Utvendig rengjøring av bygninger og industriell rengjøring,81.220,Utvendig rengjøring av bygninger og industriell rengjøring,direkte,false,false,81.220
Utgivelse av annen programvare,14,2019-09-23,2026-04-29,8,6,begge,T1,58.290,Utgivelse av annen programvare,58.290,Utgivelse av annen programvare,58.290,Utgivelse av annen programvare,direkte,false,false,58.290
Annen industriproduksjon ikke nevnt annet sted,14,2022-06-02,2026-02-13,12,2,begge,T1,32.990,Annen industriproduksjon ikke nevnt annet sted,32.990,Annen industriproduksjon ikke nevnt annet sted,32.990,Annen industriproduksjon ikke nevnt annet sted,direkte,false,false,32.990
"Butikkhandel med bredt utvalg av jernvarer, fargevarer og an",14,2022-02-16,2025-08-29,14,0,SN2007,T1,47.521,"Butikkhandel med bredt utvalg av jernvarer, fargevarer og andre byggevarer",,,47.521,"Butikkhandel med bredt utvalg av jernvarer, fargevarer og andre byggevarer",direkte,false,,
"Detaljhandel med jernvarer, byggevarer, fargevarer og glass",14,2025-09-11,2026-07-30,0,14,SN2025,T2,,,47.520,"Detaljhandel med jernvarer, byggevarer, fargevarer og glass",47.521|47.522|47.523|47.524|47.529|47.599|47.890|47.919|47.990,"Butikkhandel med bredt utvalg av jernvarer, fargevarer og andre byggevarer | Butikkhandel med jernvarer | Butikkhandel med fargevarer | Butikkhandel med trelast | Butikkhandel med byggevarer ikke nevnt annet sted | Butikkhandel med innredningsartikler ikke nevnt annet sted | Torghandel med andre varer | Postordre-/Internetthandel med annet spesialisert vareutvalg | Detaljhandel utenom utsalgssted ellers",korrespondanse-1tilmange,false,false,47.520
Butikkhandel med fritidsbåter og -utstyr,14,2021-04-22,2025-05-23,14,0,SN2007,T1,47.642,Butikkhandel med fritidsbåter og -utstyr,,,47.642,Butikkhandel med fritidsbåter og -utstyr,direkte,false,,
Turbiltransport,13,2022-05-23,2025-05-30,13,0,SN2007,T1,49.392,Turbiltransport,,,49.392,Turbiltransport,direkte,false,,
Andre helsetjenester ellers,13,2025-09-12,2026-06-30,0,13,SN2025,T2,,,86.993,Andre helsetjenester ellers,86.906|86.909,Medisinske laboratorietjenester | Andre helsetjenester,korrespondanse-1tilmange,false,false,86.993
Engroshandel med maskiner og utstyr til jordbruk og skogbruk,13,2022-06-09,2026-03-02,10,3,begge,T1,46.610,Engroshandel med maskiner og utstyr til jordbruk og skogbruk,46.610,Engroshandel med maskiner og utstyr til jordbruk og skogbruk,46.610,Engroshandel med maskiner og utstyr til jordbruk og skogbruk,direkte,false,false,46.610
Personlig tjenesteyting ikke nevnt annet sted,13,2022-05-24,2025-05-14,13,0,SN2007,T1,96.090,Personlig tjenesteyting ikke nevnt annet sted,,,96.090,Personlig tjenesteyting ikke nevnt annet sted,direkte,false,,
Glassarbeid,13,2022-09-19,2025-08-21,13,0,SN2007,T1,43.342,Glassarbeid,,,43.342,Glassarbeid,direkte,true,,
Annen ferdiggjøring av bygninger,13,2023-01-09,2026-05-15,11,2,begge,T1,43.390,Annen ferdiggjøring av bygninger,43.350,Annen ferdiggjøring av bygninger,43.390,Annen ferdiggjøring av bygninger,direkte,true,true,43.350
"Produksjon av andre trevarer og varer av kork, strå og flett",13,2023-05-02,2026-05-07,10,3,begge,T1,16.290,"Produksjon av andre trevarer og varer av kork, strå og flettematerialer",16.280,"Produksjon av andre trevarer og varer av kork, strå og flettematerialer",16.290,"Produksjon av andre trevarer og varer av kork, strå og flettematerialer",direkte,false,false,16.280
Engroshandel med parfyme og kosmetikk,13,2022-12-01,2026-06-16,8,5,begge,T1,46.450,Engroshandel med parfyme og kosmetikk,46.450,Engroshandel med parfyme og kosmetikk,46.450,Engroshandel med parfyme og kosmetikk,direkte,false,false,46.450
Engroshandel med andre husholdningsvarer,13,2025-09-05,2026-08-07,0,13,SN2025,T2,,,46.490,Engroshandel med andre husholdningsvarer,46.433|46.491|46.492|46.493|46.494|46.495|46.499,"Engroshandel med plater, musikk- og videokassetter og CD- og DVD-plater | Engroshandel med bøker, aviser og blader | Engroshandel med reiseeffekter og lærvarer | Engroshandel med fritidsbåter og -utstyr | Engroshandel med sportsutstyr | Engroshandel med spill og leker | Engroshandel med husholdningsvarer og varer til personlig bruk ikke nevnt annet sted",korrespondanse-1tilmange,false,false,46.490
Butikkhandel med nærings- og nytelsesmidler ikke nevnt annet,13,2023-05-23,2025-06-13,13,0,SN2007,T1,47.299,Butikkhandel med nærings- og nytelsesmidler ikke nevnt annet sted,,,47.299,Butikkhandel med nærings- og nytelsesmidler ikke nevnt annet sted,direkte,false,,
Private vakttjenester,13,2023-02-03,2025-01-31,13,0,SN2007,T1,80.100,Private vakttjenester,,,80.100,Private vakttjenester,direkte,false,,
Utleie og leasing av sports- og fritidsutstyr,13,2023-05-12,2026-07-28,9,4,begge,T1,77.210,Utleie og leasing av sports- og fritidsutstyr,77.210,Utleie og leasing av sports- og fritidsutstyr,77.210,Utleie og leasing av sports- og fritidsutstyr,direkte,false,false,77.210
Butikkhandel med brukte varer ellers,12,2022-11-28,2025-07-21,12,0,SN2007,T1,47.799,Butikkhandel med brukte varer ellers,,,47.799,Butikkhandel med brukte varer ellers,direkte,false,,
Utleie og leasing av andre husholdningsvarer og varer til pe,12,2023-01-06,2026-03-20,8,4,begge,T1,77.290,Utleie og leasing av andre husholdningsvarer og varer til personlig bruk,77.220,Utleie og leasing av andre husholdningsvarer og varer til personlig bruk,77.290,Utleie og leasing av andre husholdningsvarer og varer til personlig bruk,direkte,false,false,77.220
Regnskap og bokføring,12,2023-02-15,2025-06-10,12,0,SN2007,T1,69.201,Regnskap og bokføring,,,69.201,Regnskap og bokføring,direkte,false,,
"Databehandling, datalagring og tilknyttede tjenester",12,2023-05-24,2025-07-03,12,0,SN2007,T1,63.110,"Databehandling, datalagring og tilknyttede tjenester",,,63.110,"Databehandling, datalagring og tilknyttede tjenester",direkte,false,,
Arkitektvirksomhet,12,2025-09-09,2026-07-08,0,12,SN2025,T2,,,71.110,Arkitektvirksomhet,71.111|71.112|71.113,Plan- og reguleringsarbeid | Arkitekttjenester vedrørende byggverk | Landskapsarkitekttjenester,korrespondanse-1tilmange,false,false,71.110
Barnehager,12,2022-10-24,2025-04-14,12,0,SN2007,T1,88.911,Barnehager,,,88.911,Barnehager,direkte,false,,
Reparasjon og vedlikehold av maskiner,12,2025-09-22,2026-07-24,0,12,SN2025,T2,,,33.120,Reparasjon og vedlikehold av maskiner,33.120,Reparasjon av maskiner,korrespondanse-1til1,false,false,33.120
Bygging av andre anlegg ikke nevnt annet sted,12,2023-03-17,2026-06-30,6,6,begge,T1,42.990,Bygging av andre anlegg ikke nevnt annet sted,42.990,Bygging av andre anlegg ikke nevnt annet sted,42.990,Bygging av andre anlegg ikke nevnt annet sted,direkte,true,true,42.990
Engroshandel med tekstiler og utstyrsvarer,12,2023-02-20,2026-08-07,11,1,begge,T1,46.410,Engroshandel med tekstiler og utstyrsvarer,46.410,Engroshandel med tekstiler og utstyrsvarer,46.410,Engroshandel med tekstiler og utstyrsvarer,direkte,false,false,46.410
Tannhelsetjenester,12,2023-03-16,2025-05-20,12,0,SN2007,T1,86.230,Tannhelsetjenester,,,86.230,Tannhelsetjenester,direkte,false,,
Produksjon og utgivelse av musikk- og lydopptak,11,2023-06-19,2026-07-01,7,4,begge,T1,59.200,Produksjon og utgivelse av musikk- og lydopptak,59.200,Produksjon og utgivelse av musikk- og lydopptak,59.200,Produksjon og utgivelse av musikk- og lydopptak,direkte,false,false,59.200
Produksjon av metallkonstruksjoner og deler,11,2022-10-18,2026-04-23,9,2,begge,T1,25.110,Produksjon av metallkonstruksjoner og deler,25.110,Produksjon av metallkonstruksjoner og deler,25.110,Produksjon av metallkonstruksjoner og deler,direkte,false,false,25.110
"Butikkhandel med kjøkkenutstyr, glass og steintøy",11,2023-08-24,2025-07-04,11,0,SN2007,T1,47.593,"Butikkhandel med kjøkkenutstyr, glass og steintøy",,,47.593,"Butikkhandel med kjøkkenutstyr, glass og steintøy",direkte,false,,
Butikkhandel med bøker,11,2023-06-29,2024-12-20,11,0,SN2007,T1,47.610,Butikkhandel med bøker,,,47.610,Butikkhandel med bøker,direkte,false,,
Vaskeri- og renserivirksomhet,11,2022-05-09,2026-07-01,8,3,begge,T1,96.010,Vaskeri- og renserivirksomhet,96.100,Vaskeri- og renserivirksomhet,96.010,Vaskeri- og renserivirksomhet,direkte,false,false,96.100
"Kuldeanlegg-, varmepumpearbeid og installasjon av peiser",11,2026-05-13,2026-08-21,0,11,SN2025,T2,,,43.222,"Kuldeanlegg-, varmepumpearbeid og installasjon av peiser",43.222|43.990,Kuldeanlegg- og varmepumpearbeid | Annen spesialisert bygge- og anleggsvirksomhet,korrespondanse-1tilmange,true,true,43.222
Tjenester tilknyttet hav- og kystbasert fiskeoppdrett,11,2023-01-09,2025-08-21,11,0,SN2007,,,,,,,,,,,
Drift av gods- og transportsentraler,11,2022-08-01,2026-08-05,4,7,begge,T1,52.211,Drift av gods- og transportsentraler,52.211,Drift av gods- og transportsentraler,52.211,Drift av gods- og transportsentraler,direkte,false,false,52.211
Juridisk tjenesteyting,11,2022-10-04,2026-06-09,9,2,begge,T1,69.100,Juridisk tjenesteyting,69.100,Juridisk tjenesteyting,69.100,Juridisk tjenesteyting,direkte,false,false,69.100
"Industri-, produkt- og motedesignvirksomhet",11,2025-10-27,2026-08-14,0,11,SN2025,T2,,,74.110,"Industri-, produkt- og motedesignvirksomhet",74.101,"Industridesign, produktdesign og annen teknisk designvirksomhet",korrespondanse-1til1,false,false,74.110
Annen detaljhandel med andre nye varer,11,2025-11-05,2026-07-24,0,11,SN2025,T2,,,47.780,Annen detaljhandel med andre nye varer,47.781|47.782|47.789|47.890|47.919|47.990,Butikkhandel med fotoutstyr | Butikkhandel med optiske artikler | Butikkhandel ikke nevnt annet sted | Torghandel med andre varer | Postordre-/Internetthandel med annet spesialisert vareutvalg | Detaljhandel utenom utsalgssted ellers,korrespondanse-1tilmange,false,false,47.780
Engroshandel med belysningsutstyr,11,2023-03-29,2025-06-25,11,0,SN2007,T1,46.473,Engroshandel med belysningsutstyr,,,46.473,Engroshandel med belysningsutstyr,direkte,false,,
Engroshandel med maskiner og utstyr til industri ellers,11,2022-10-27,2025-06-13,11,0,SN2007,T1,46.693,Engroshandel med maskiner og utstyr til industri ellers,,,46.693,Engroshandel med maskiner og utstyr til industri ellers,direkte,false,,
Engroshandel med drikkevarer ellers,11,2022-10-11,2025-01-02,11,0,SN2007,T1,46.349,Engroshandel med drikkevarer ellers,,,46.349,Engroshandel med drikkevarer ellers,direkte,false,,
Utgivelse av bøker,10,2023-08-03,2026-01-14,9,1,begge,T1,58.110,Utgivelse av bøker,58.110,Utgivelse av bøker,58.110,Utgivelse av bøker,direkte,false,false,58.110
Overflatebehandling av metaller,10,2018-09-25,2026-06-29,8,2,begge,T1,25.610,Overflatebehandling av metaller,25.510,Overflatebehandling av metaller,25.610,Overflatebehandling av metaller,direkte,false,false,25.510
Bygging av anlegg for elektrisitet og telekommunikasjon,10,2021-09-20,2024-11-29,10,0,SN2007,T1,42.220,Bygging av anlegg for elektrisitet og telekommunikasjon,,,42.220,Bygging av anlegg for elektrisitet og telekommunikasjon,direkte,true,,
Tjenester tilknyttet landtransport ellers,10,2022-05-30,2025-05-06,10,0,SN2007,T1,52.219,Tjenester tilknyttet landtransport ellers,,,52.219,Tjenester tilknyttet landtransport ellers,direkte,false,,
Produksjon av næringsmidler ikke nevnt annet sted,10,2020-05-07,2026-07-24,4,6,begge,T1,10.890,Produksjon av næringsmidler ikke nevnt annet sted,10.890,Produksjon av næringsmidler ikke nevnt annet sted,10.890,Produksjon av næringsmidler ikke nevnt annet sted,direkte,false,false,10.890
Produksjon av øl,10,2022-10-07,2026-03-20,9,1,begge,T1,11.050,Produksjon av øl,11.050,Produksjon av øl,11.050,Produksjon av øl,direkte,false,false,11.050
Butikkhandel med jernvarer,10,2023-08-07,2025-08-25,10,0,SN2007,T1,47.522,Butikkhandel med jernvarer,,,47.522,Butikkhandel med jernvarer,direkte,false,,
Agentur- og engroshandel med deler og utstyr til motorvogner,10,2023-04-24,2025-06-17,10,0,SN2007,T1,45.310,"Agentur- og engroshandel med deler og utstyr til motorvogner, unntatt motorsykler",,,45.310,"Agentur- og engroshandel med deler og utstyr til motorvogner, unntatt motorsykler",direkte,false,,
Produksjon av betongprodukter for bygge- og anleggsvirksomhe,10,2023-02-20,2026-06-18,7,3,begge,T1,23.610,Produksjon av betongprodukter for bygge- og anleggsvirksomhet,23.610,Produksjon av betongprodukter for bygge- og anleggsvirksomhet,23.610,Produksjon av betongprodukter for bygge- og anleggsvirksomhet,direkte,false,false,23.610
Andre egeninvesteringsselskaper,10,2025-10-28,2026-07-29,0,10,SN2025,T2,,,64.323,Andre egeninvesteringsselskaper,64.308,Familieeide egeninvesteringsselskaper,korrespondanse-1til1,false,false,64.323
Formidlingstjenester tilknyttet detaljhandel med spesialiser,10,2025-11-28,2026-08-24,0,10,SN2025,T2,,,47.920,Formidlingstjenester tilknyttet detaljhandel med spesialisert vareutvalg,45.112|45.192|45.320|45.402|47.210|47.220|47.230|47.241|47.242|47.251|47.259|47.260|47.291|47.292|47.299|47.300|47.410|47.420|47.430|47.510|47.521|47.522|47.523|47.524|47.529|47.531|47.532|47.533|47.540|47.591|47.592|47.593|47.594|47.599|47.610|47.620|47.630|47.641|47.642|47.650|47.710|47.721|47.722|47.730|47.740|47.750|47.761|47.762|47.771|47.772|47.781|47.782|47.789|47.791|47.792|47.799|47.810|47.820|47.912|47.913|47.914|47.915|47.916|47.917|47.919|47.990|82.990,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler | Detaljhandel med andre motorvogner, unntatt motorsykler | Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler | Detaljhandel med motorsykler, deler og utstyr | Butikkhandel med frukt og grønnsaker | Butikkhandel med kjøtt og kjøttvarer | Butikkhandel med fisk, skalldyr og bløtdyr | Butikkhandel med bakervarer og konditorvarer | Butikkhandel med sukkervarer | Butikkhandel med vin og brennevin | Butikkhandel med drikkevarer ellers | Butikkhandel med tobakksvarer | Butikkhandel med helsekost | Butikkhandel med kaffe og te | Butikkhandel med nærings- og nytelsesmidler ikke nevnt annet sted | Detaljhandel med drivstoff til motorvogner | Butikkhandel med datamaskiner og utstyr til datamaskiner | Butikkhandel med telekommunikasjonsutstyr | Butikkhandel med audio- og videoutstyr | Butikkhandel med tekstiler og utstyrsvarer | Butikkhandel med bredt utvalg av jernvarer, fargevarer og andre byggevarer | Butikkhandel med jernvarer | Butikkhandel med fargevarer | Butikkhandel med trelast | Butikkhandel med byggevarer ikke nevnt annet sted | Butikkhandel med tapeter og gulvbelegg | Butikkhandel med tepper | Butikkhandel med gardiner | Butikkhandel med elektriske husholdningsapparater | Butikkhandel med møbler | Butikkhandel med belysningsutstyr | Butikkhandel med kjøkkenutstyr, glass og steintøy | Butikkhandel med musikkinstrumenter og noter | Butikkhandel med innredningsartikler ikke nevnt annet sted | Butikkhandel med bøker | Butikkhandel med aviser og papirvarer | Butikkhandel med innspillinger av musikk og video | Butikkhandel med sportsutstyr | Butikkhandel med fritidsbåter og -utstyr | Butikkhandel med spill og leker | Butikkhandel med klær | Butikkhandel med skotøy | Butikkhandel med reiseeffekter av lær og lærimitasjoner og varer av lær | Butikkhandel med apotekvarer | Butikkhandel med medisinske og ortopediske artikler | Butikkhandel med kosmetikk og toalettartikler | Butikkhandel med blomster og planter | Butikkhandel med kjæledyr og fôrvarer til kjæledyr | Butikkhandel med ur og klokker | Butikkhandel med gull- og sølvvarer | Butikkhandel med fotoutstyr | Butikkhandel med optiske artikler | Butikkhandel ikke nevnt annet sted | Butikkhandel med antikviteter | Butikkhandel med brukte klær | Butikkhandel med brukte varer ellers | Torghandel med næringsmidler, drikkevarer og tobakksvarer | Torghandel med tekstiler, klær, skotøy og utstyrsvarer | Postordre-/Internetthandel med tekstiler, utstyrsvarer, klær, skotøy, reiseeffekter og lærvarer | Postordre-/Internetthandel med belysningsutstyr, kjøkkenutstyr, møbler og innredningsartikler | Postordre-/Internetthandel med elektriske husholdningsapparater, radio, fjernsyn, plater, kassetter og musikkinstrumenter | Postordre-/internetthandel med bøker, papir, aviser og blader | Postordre-/Internetthandel med IKT-utstyr | Postordre-/Internetthandel med helsekost | Postordre-/Internetthandel med annet spesialisert vareutvalg | Detaljhandel utenom utsalgssted ellers | Annen forretningsmessig tjenesteyting ikke nevnt annet sted",korrespondanse-1tilmange,false,false,47.920
"Dyrking av grønnsaker, meloner, rot- og knollvekster",10,2022-08-15,2026-01-08,6,4,begge,T1,01.130,"Dyrking av grønnsaker, meloner, rot- og knollvekster",01.130,"Dyrking av grønnsaker, meloner, rot- og knollvekster",01.130,"Dyrking av grønnsaker, meloner, rot- og knollvekster",direkte,false,false,01.130
Telefonvakttjenester og telefonsalg,10,2026-01-21,2026-08-17,0,10,SN2025,T3,82.20,Telefonvakttjenester og telefonsalg,,,82.20,Telefonvakttjenester og telefonsalg,direkte,false,,82.200
Selvstendig kunstnerisk virksomhet innen visuell kunst,9,2023-03-02,2025-08-12,9,0,SN2007,T1,90.031,Selvstendig kunstnerisk virksomhet innen visuell kunst,,,90.031,Selvstendig kunstnerisk virksomhet innen visuell kunst,direkte,false,,
Detaljhandel med innredningsartikler ikke nevnt annet sted,9,2025-10-01,2026-08-14,0,9,SN2025,T2,,,47.559,Detaljhandel med innredningsartikler ikke nevnt annet sted,47.599|47.789|47.890|47.913|47.990,"Butikkhandel med innredningsartikler ikke nevnt annet sted | Butikkhandel ikke nevnt annet sted | Torghandel med andre varer | Postordre-/Internetthandel med belysningsutstyr, kjøkkenutstyr, møbler og innredningsartikler | Detaljhandel utenom utsalgssted ellers",korrespondanse-1tilmange,false,false,47.559
"Detaljhandel med møbler, gjelder også madrasser",9,2025-09-25,2026-05-29,0,9,SN2025,T2,,,47.551,"Detaljhandel med møbler, gjelder også madrasser",47.591|47.890|47.913|47.990,"Butikkhandel med møbler | Torghandel med andre varer | Postordre-/Internetthandel med belysningsutstyr, kjøkkenutstyr, møbler og innredningsartikler | Detaljhandel utenom utsalgssted ellers",korrespondanse-1tilmange,false,false,47.551
Butikkhandel med bredt vareutvalg ellers,9,2022-12-21,2025-05-14,9,0,SN2007,T1,47.190,Butikkhandel med bredt vareutvalg ellers,,,47.190,Butikkhandel med bredt vareutvalg ellers,direkte,false,,
Drift av ferieleiligheter,9,2023-06-27,2025-06-05,9,0,SN2007,T1,55.202,Drift av ferieleiligheter,,,55.202,Drift av ferieleiligheter,direkte,false,,
Enheten er slettet,9,2023-03-30,2026-04-15,6,3,begge,,,,,,,,,,,
Butikkhandel med optiske artikler,9,2023-03-31,2025-06-23,9,0,SN2007,T1,47.782,Butikkhandel med optiske artikler,,,47.782,Butikkhandel med optiske artikler,direkte,false,,
Detaljhandel med deler og utstyr til motorvogner,9,2025-09-16,2026-08-21,0,9,SN2025,T2,,,47.820,Detaljhandel med deler og utstyr til motorvogner,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",korrespondanse-1til1,false,false,47.820
Fritidsetablissement,9,2022-10-10,2025-08-04,9,0,SN2007,T1,93.292,Fritidsetablissement,,,93.292,Fritidsetablissement,direkte,false,,
